assignment_group,description,text_length
GRP_0,login issue verify detail employee manager check ad reset password advise caller confirm able resolve,101
GRP_0,outlook team meeting skype appear calendar someone advise correct child,71
GRP_0,log vpn good,12
GRP_0,unable access hr tool page,26
GRP_0,skype error,11
GRP_0,unable log engineering tool skype,33
GRP_0,ticket employment status new non employee enter,47
GRP_0,unable disable add outlook,26
GRP_0,ticket update inplant,21
GRP_0,engineering tool say connect unable submit report,49
GRP_0,hr tool site load page correctly,32
GRP_0,unable login hr tool card,25
GRP_0,want reset password,19
GRP_0,unable open payslip,19
GRP_0,ticket update inplant,21
GRP_0,unable login company vpn website try open new session use link able urgently work home tomorrow due month end close,115
GRP_3,undock pc screen come back,26
GRP_0,erp sid account lock,20
GRP_0,unable sign vpn,15
GRP_0,unable check payslip,20
GRP_0,vpn issue helpdesk able connect home office couple hour ago work anymore message session expire click link nothing happen need dynamic crm chat live agent regard question good,175
GRP_0,unable connect vpn,18
GRP_0,call vendor phone number,24
GRP_0,vpn work able connect company network check sir upload result,61
GRP_0,erp sid password reset,22
GRP_0,unable login hr tool check payslip,34
GRP_0,account lock,12
GRP_0,unable login hr tool,20
GRP_0,unable log erp sid,18
GRP_0,password reset collaboration platform,37
GRP_0,reset password client username,30
GRP_4,duplication network address gentle two device try share ip one printer hostname new display erp use dhcp assign hard code guess set static need correct pick another,164
GRP_0,ess password reset,18
GRP_0,unable install flash player,27
GRP_0,ticket employment status new non employee,41
GRP_0,erp sid account unlock password reset,37
GRP_0,unable resolve ticket assign self status button second,54
GRP_0,instal engineering tool need install pc,39
GRP_0,call ecwtrjnq jpecxuty,22
GRP_0,ticket update inplant,21
GRP_0,tablet sound work,17
GRP_0,unable login system,19
GRP_5,reroute job printer issue need resolve today work part replace queue indicate new may deliver day inwarehouse tool print take care since pick outside vendor usa daily basis contact question,189
GRP_0,unable login hr tool etime,26
GRP_0,log hr tool etime single sign portal,36
GRP_0,password change management tool update erp account,50
GRP_6,job fail scheduler monitor tool company com,43
GRP_0,window password change via management tool,42
GRP_8,job mm zscr dly merktc fail scheduler monitor tool company com,62
GRP_0,vip need password management tool manager reset,47
GRP_0,reset software password global product manager marketing initiative mailto,74
GRP_0,account lock office keep possible reason companysecure mobile device email setup incorrect password store window network match,126
GRP_0,skype meeting good morning reset password lose option set remember able bring back last time,92
GRP_0,inquiry impact reward password reset,36
GRP_6,need dn material plant pc thank,31
GRP_0,unlock logon password company net log urgent,44
GRP_8,job mm zscr dly merktc fail scheduler monitor tool company com,62
GRP_8,job fail scheduler monitor tool company com,43
GRP_0,password change require,23
GRP_0,issue outlook good,18
GRP_6,urgent create try mm sto plant,30
GRP_8,apac company two switch since ap chn access sw,46
GRP_0,error login sid system verify detail employee manager try password management tool pwd unlock erp caller confirm able issue resolve,131
GRP_0,delivery note post good issue plant display ekpo support check entry,68
GRP_9,job fail scheduler monitor tool company com,43
GRP_8,job fail scheduler monitor tool company com,43
GRP_8,job fail scheduler monitor tool company com,43
GRP_8,job fail scheduler monitor tool company com,43
GRP_0,locked team release lock computer,33
GRP_0,dell laptop speaker work require urgent,39
GRP_0,need connect wireless connection home lan system use teamviewer check network setting login wirelessly disconnect confirm able issue resolve,140
GRP_0,inc ticket update,17
GRP_10,job hr payroll fail scheduler monitor tool company com,54
GRP_10,job hr payroll fail scheduler monitor tool company com,54
GRP_10,job hr payroll fail scheduler monitor tool company com,54
GRP_8,power outage st th site hard since type network circuit specify top cert start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc additional diagnostic,266
GRP_8,power outage germany site hard since type network circuit specify top cert start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc additional diagnostic,268
GRP_6,job fail scheduler monitor tool company com,43
GRP_0,erp sid account lock,20
GRP_0,yhmwxsqj ugnthxky issue log outlook available tomorrow around work company campus reach fix,91
GRP_9,job bwhrattr fail scheduler monitor tool company com,52
GRP_6,job apo plant fail scheduler monitor tool company com,53
GRP_9,job fail scheduler monitor tool company com,43
GRP_8,job mm zscr wkly rollfgyuej fail scheduler monitor tool company com,67
GRP_0,unable open ie,14
GRP_8,job fail scheduler monitor tool company com,43
GRP_5,job sid cold fail scheduler monitor tool company com,52
GRP_5,job sid cold fail scheduler monitor tool company com,52
GRP_5,job fail scheduler monitor tool company com,43
GRP_5,job sid cold fail scheduler monitor tool company com,52
GRP_5,job fail scheduler monitor tool company com,43
GRP_5,job sid cold fail scheduler monitor tool company com,52
GRP_5,job sid cold fail scheduler monitor tool company com,52
GRP_12,amssm label sys ef server space consume available,49
GRP_0,unable view payslip hr tool time,32
